Player,Pos,Team,FantasyPoints,VOR,VOR Rank,Rank,Current ADP,ADP Rank,Diff in ADP and VOR
Quentin Johnston,WR,LAC,107.8,-53.39999999999999,168.0,,,,
Jermaine Burton,WR,CIN,105.9,-55.29999999999998,170.0,,,,
Rashod Bateman,WR,BAL,105.1,-56.099999999999994,171.0,,,,
Zay Jones,WR,ARI,101.0,-60.19999999999999,175.0,,,,
Jalen Tolbert,WR,DAL,98.9,-62.29999999999998,178.0,,,,
Clyde Edwards Helaire,RB,KC,100.1,-65.70000000000002,182.0,,,,
Rondale Moore,WR,ATL,95.3,-65.89999999999999,183.0,,,,
JaLynn Polk,WR,NE,95.1,-66.1,184.0,,,,
Tim Patrick,WR,DEN,94.6,-66.6,185.0,,,,
Tyler Boyd,WR,TEN,93.9,-67.29999999999998,188.0,,,,
